Taxonomy,Themes,or,,,,,,,,,,,,,,Not Include,,,,,閬囧埌xx锛屼紭鍏圱heme鏈韩
Urbanization ,Urbanization ,urbanizing,infrastructure,urban sprawl,population,,,,,,,,,,,,,,,,
Urbanization ,Countryside ,,,,,,,,,,,,,,,,,,,,
Urbanization ,Economy, currency ,mercantile,fiscal,capital,,,,,,,,,,,,,,,,
Urbanization ,Consumerism ,commercialism,capitalism,industrialism,business,,,,,,,,,,,,,,,,
Urbanization ,Architecture ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Technology,Interdisciplinary Research ,multidisciplinary,,,,,,,,,,,,,,,,,,,
Technology,Sci-Fi ,science fiction,space fiction,space odyssey,Frankenstein,,,,,,,,,,,,,,,,
Technology,Blockchain ,,,,,,,,,,,,,,,,,,,,
Technology,Bitcoin ,,,,,,,,,,,,,,,,,,,,Blockchain 
Technology,Artificial Intelligence ,AI,machine learning,big data,,,,,,,,,,,,,,,,,
Technology,Algorithm ,computation,computing,,,,,,,,,,,,,,,,,,
Technology,Post-human ,,,,,,,,,,,,,,,,,,,,
Technology,Internet ,cyberspace,World Wide Web,hyperspace,information infrastructure,online,net,,,,,,,,,,,,,,
Technology,Game ,play,,,,,,,,,,,,,,,,,,,
Technology,Social Media ,Facebook,WhatsApp,WeChat,Instagram,TikTok,,,,,,,,,,,,,,,
Technology,Virtual Reality ,VR,AR,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ecology ,Biological Related ,biological,nutrition,ecology,evolutionism,environmental,BioArt,genetic,cloning,tissue,organisms,bacteria,microbe,,,microorganism,,,,,
Ecology ,Medical / Health ,medicinal,pharmaceutical,therapeutic,preventive,pathological,HIV,illness,sickness,disease,,,,,,,,,,,
Ecology ,Virus,disease,germ,pathogen,plague,disease,pathogen,,,,,,,,,,,,,,
Ecology ,Ethnographic Studies ,anthropology,field research,,,,,,,,,,,,,,,,,,
Ecology ,cybernetics,natural systems,generative ,systemic,evolutionary art,systems theory,,,,,,,,,,,,,,,
Ecology ,Environment and Ecology ,zoology,global warming,climate change,pollution,environmental,ecological,,,,,,,,,,,,,,
Ecology ,Disaster ,calamity,catastrophe,fire,flood,earthquake,hurricane,bioterrorism,tornado,,,,,,,,,,,,
Ecology ,Archeology ,paleontology,paleology,antiquarianism,prehistory,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Subculture ,Subculture ,,,,,,,,,,,,,,,,,,,,
